,,,,,,
UK Civil Protection Lexicon,,,,,,
Version 2.1.1 (February 2013),,,,,,
Explanatory Notes and Version History appear in separate sheets,,,,,,
"For further information, related documents and the current version go to: ",,,,,,
www.cabinetoffice.gov.uk/cplexicon,,,,,,
Primary Term,Abbreviation or acronym,Included / Revised in  Ver. ,Source,Definition                                                                                        (text in bold indicates a related defintion in the Lexicon),Notes on definition,Geography or jurisdiction to which the term is restricted
Low Level Waste Repository ,LLWR,2.0,NEPLG,National facility for the disposal of low level radioactive waste.  Located at Drigg in Cumbria. ,,
Major Accident,,2.0,CCS,Accident of a sufficiently large scale to constitute an emergency,,
Major Accident Hazard Pipeline(s) ,MAH pipelines; MAHP(s),1.0,HSE,"Supply systems for dangerous fluids as defined in schedule 2 of Pipeline Safety Regulations, which include high pressure natural gas, other gases, oils and chemicals ",,
Major Emergency Control Centre (on site) ,,2.0,CCS,Emergency control centre at a major hazard site ,,
Major Hazard site,,2.0,HSE,"Industrial site that manufactures stores or processes dangerous substances in quantities that could pose a risk to workers, people in the vicinity of the site and the environment in the event of a major accident ",,
Major incident,,1.0,CCS,Event or situation requiring a response under one or more of the emergency services' major incident plans,,
Major incident procedures,,2.0,CCS,Pre-planned and exercised procedures activated by the declaration of a major incident,,
Marine Response Centre,MRC,1.0,MCA,Maritime and Coastguard Agency co-ordination centre for oil pollution incidents at sea that require a national response,Note alternative of MCA acronym (Military/MOD Co-ordinating Authority),
Maritime and Coastguard Agency,MCA,1.0,MCA,"Executive agency of the Department for Transport, comprising Her Majesty’s Coastguard and the former Marine Safety Agency",,
Maritime Incident Response Group,MIRG,1.0,MCA,"Specialist fire and rescue service teams strategically located around the country, for response to emergencies at sea",Note: often equipped and trained to conduct SEARCH AND RESCUE,
Maritime Patrol Aircraft,MPA,2.0,MCA,"Long range military aircraft for detecting, locating, tracking, observing and, if necessary, attacking surface vessels and submarines  ",,
Maritime Rescue Co-ordination Centre ,MRCC,2.0,MCA,Her Majesty’s Coastguard regional centre overseeing and co-ordinating the search and rescue operations within a region,,
Maritime Rescue Sub Centre,,2.0,MCA,Her Majesty’s Coastguard unit subordinate to a Maritime Rescue Coordination Centre ,,
Maritime Safety Information,MSI,2.0,MCA,"Internationally agreed system for promulgating information on weather, sea conditions and navigational hazards ",,
Marshalling area, ,2.0.2,CCS,Generic term for an area to which resources and personnel not immediately required at the scene or being held for further use can be directed to stand by,Note: see also Multi Agency Strategic Holding Area (MASHA),
Marshalling officer,,2.0,CCS,Service representative at Marshalling Area,,
Marauding Terrorist Firearms Attack,MTFA,2.1,CCS,,Note: included for the acronym,
Mass casualty incident,MCI,1.0,CCS,An incident (or series of incidents) causing casualties on a scale that is beyond the normal resources of the emergency services ,"Note: the term mass casualty denotes a major incident potentially involving hundreds of casualties, or more.",
Mass evacuation ,,2.0,CCS,"Evacuation of a large number of people (100,000+) from a place of danger to a place of relative safety ","Note: may also be termed wide-area evacuation. See also Medium-scale evacuation, Small scale evacuation and Large scale evacuation",
Mass Fatality Co-ordination Team,,2.0,CCS,Team comprising:  Incident Coroner; Coroner of Disaster Mortuary (if different); SIO  (or deputy); SIM (or deputy); Supervising Pathologist; Local Authority Mortuary Manager; and a representative of the London Resilience Team,,
Master of Vessel,,2.0,MCA,"Captain, commander or first officer of a ship or person in charge of a vessel or craft ",,
Medevac ,,1.0,CCS,Abbreviation for Medical Evacuation (of casualties by air),,
Media,,1.0,CCS,Press and electronic news reporting agencies,,
Media (Briefing) Centre,MBC,1.0,,"Central location for media enquiries, staffed by spokespeople from the major responders, providing communication links and briefing facilities",,
Media Emergency Forum  ,MEF,1.0,CCS,"Ad hoc group of senior media editors, government representatives, local authority emergency planners, emergency services, police and the private sector set up to consider the provision of information to the public, and other media issues, in the context of civil emergencies",,
Media Liaison Officer ,MLO,1.0,CCS,Representative who has responsibility for liaising with the media on behalf of his/her organisation,Note alternative of MLO acronym (Military Liaison Officer),
Media Liaison Point,MLP,1.0,CCS,"Area adjacent to the scene, staffed by Media Liaison Officers, for the reception and accreditation of media personnel and for briefing on reporting, filming and photographing",,
Media Plan,,2.0,CCS,Plan for ensuring cooperation between Category 1 and 2 responders and the media in communicating during and after an emergency.,,
Media Protocol,,2.0,CCS,"Protocol to oversee the flow of public information, respond to media queries, handle requests for media interviews, brief the media, and establish a Media Centre",Note: may also be termed  Public Information protocol,
Media Technical Briefer ,MTB,2.0,NEPLG,Provided by the nuclear site operator to provide input to press conferences and media briefings ahead of the Government Technical Advisor’s arrival.,,
Medical Emergency Response Incident Team,MERIT,1.0,CCS,Team of appropriately trained and equipped medical and/or nursing staff provided by a local acute trust or foundation trust hospital to attend the scene of an emergency, ,
Medical Incident Commander,MIC,2.0,DH,Lead medical officer responsible for clinical management at the scene of an emergency,,
Medical Link Call,,2.0,MCA,"Service enabling a vessel or craft at sea to obtain medical advice from a qualified doctor, via radio or satellite ",,
Medium-scale evacuation , ,2.0,CCS,"Evacuation of between 1,000 to 25,000 people from a place of danger to a place of relative safety ","See also Mass evacuation, Small scale evacuation and Large scale evacuation",
Memorandum of Understanding,MoU ,2.1,CCS,,Note: included for Acronym,
Metropolitan Police Specialist Protection Department,SO1,2.1,OSCT,,Note: included for acronym,
Metropolitan Police’s Counter Terrorism Command,SO15 or CTC,2.1,OSCT,,Note: included for acronym,
Metropolitan Police’s SO18 unit is responsible for policing at Heathrow Airport,SO18,2.1,OSCT,,Note: included for acronym,
Military Aid to Government Departments ,MAGD,1.0,CCS,Assistance provided by Ministry of Defence for the maintenance of essential supplies in a national emergency,,
Military Aid to the Civil Authorities,MACA,1.0,CCS,Any category of assistance provided by the Ministry of Defence to the civil authorities ,,
Military Aid to the Civil Community ,MACC,1.0,CCS,Assistance provided by Ministry of Defence personnel under 3 categories: ,,
,,,,·       in an emergency,,
,,,,·       for projects and events,,
,,,,·       in social services (by volunteers) ,,
Military Aid to the Civil Power ,MACP,1.0,CCS,"Military assistance in the maintenance of law and order, in situations beyond the capacity of the civil power, normally involving specialist capabilities or equipment, including counter terrorism and non counter terrorism explosive ordnance disposal",,
Military / MOD Coordinating Authority,MCA,2.0,NEPLG,Provides Government Liaison Officer in the event of an accident at a defence nuclear site.,Note alternative of MCA acronym (Maritine and Coastguard Agency),
Military Home, ,2.0,MOD,Military activities required to preserve the functions of government and to protect essential national infrastructure in times of crisis and war ,,
Military Liaison Officer,MLO,2.0,MOD,Officer appointed by the regional military headquarters to act as the point of contact within a civilian authority’s command and control structure ,Note alternative of MLO acronym (Media Liaison Officer),
Military SAR Assets,,2.0,CCS,"Military resource, unit or team tasked for land or maritime search and rescue ",,
Ministry of Defence,MOD,2.1,MOD,,Note: included for Acronym,
MISPER,,1.0,CCS,Abbreviation for missing person,,
MISPER form, ,1.0,CCS,Form completed for a casualty bureau by a friend or relative of someone who is missing in an emergency ,,
Missing Persons Enquiry Unit,,2.0,CCS,Element within the Casualty Bureau responsible for receiving enquiries from the public and recording details of missing person,,
Mobile Telecommunications Privileged Access Scheme,MTPAS,1.0,CCS,Scheme that provides call preference for key emergency management organisations if public network access  is restricted ,,
MOD Headquarters Defence Nuclear Emergency Organisation,HQ DNEO,2.0,NEPLG,"Provides advice on MOD on MOD operational policy and military advice to the Government crisis management organisation following an emergency, including one arising through terrorist acts, involving Defence nuclear assets. ",Note: formerly MOD HQ NARO,
MOD Police and Guarding Agency,MDPGA,2.0,NEPLG,"The Agency incorporating the two main physical security services within the MOD: i) the uniformed MOD Guard Service, and ii) the statutory MOD Police Force.",,
Mortuary,,1.0,CCS,Building or area in which the bodies of deceased persons are held for identification and post mortem examination and which may provide capability for holding bodies prior to release  ,,
Mortuary Documentation Officer,,2.0,CCS,Officer responsible for supervising the Mortuary Documentation Team and compiling a file in respect of each of the deceased for presentation to the Identification Commission and HM Coroner ,,
Mortuary Documentation Team,,2.0,CCS,"Officers supervised by the Mortuary Documentation Officer, who are responsible for the administration of the post mortem process",,
Mortuary Duty Officer ,,2.0,CCS,Officer responsible for the routine and security of the emergency mortuary  ,,
Mortuary Operations Manager,,2.0,CCS,Officer responsible to the Senior Identification Manager for implementing pre-determined policy in the mortuary process,,
Multi-agency,,1.0,CCS,Involving the participation of several agencies  ,Note: frequently used interchangeably with inter-agency or joint–agency,
Multi-Agency Plan,,2.0,CCS,A plan for the coordination and integration of the response to an emergency by a number of organisations. ,Note: a multi-agency plan is usually prepared and maintained by a lead responder on behalf of the other organisations.,
Multi-Agency Strategic Holding Area,MASHA,2.1,CCS,A pre-identified space which is large enough to accommodate and coordinate the command and logistical support structures of all emergency services and agencies required for a national response to an emergency,,
Multi-Level Plan,,2.0,CCS,A plan for co-operation between more than one level of government and Category 1 and 2 responders. ,Note: the plan will usually be initiated and maintained by central government.,
Mutual aid,,1.0,CCS,"An agreement between Category 1 and 2 responders and other organisations not covered by the Act, within the same sector or across sectors and across boundaries, to provide assistance with additional resource during an emergency.",,
National Arrangements for Incidents Involving Radioactivity,NAIR,2.0,NEPLG,A National advice scheme coordinated by Health Protection Agency to provide advice and assistance to the emergency services with incidents involving radioactivity where no formal contingency plans exist.,,
National Capabilities Survey,NCS,2.1,CCS,"An anonymous, biennial survey of category 1 and 2 responders and LRFs with the objectives of enabling local responders to compare themselves anonymously to similar organisations; and the assurance of capability workstreams. ",,
National Counter Terrorism Security Office,NaCTSO  ,2.1,DCLG,,Note: included for Acronym,
National Emergency Mortuary Arrangements,NEMA,1.0,CCS,Private sector capability (under contract to the Home Office) that can be deployed anywhere within the UK to establish an emergency mortuary with the capacity to deal with large numbers of fatalities,,
National Health Service ,NHS,2.1,CCS,,Note: included for Acronym,
National Inter Agency Liaison Officer,NILO,2.1,DCLG,,Note: included for Acronym,
National Offender Management Service,NOMS,2.1,CCS,,Note: included for Acronym,
National Resilience Extranet,NRE,1.0,CCS,Secure web based infrastructure to enable multi-agency information sharing and which has a specific information function during emergency response and recovery.,Note: the NRE can store protectively marked documents up to and including RESTRICTED.,
National Risk Assessment,NRA,2.0,CCS,The full and classified assessment of the likelihood and potential impact of a range of different risks that might directly affect the UK.,,
National Risk Register,NRR,2.0,CCS,A publically available statement of the assessment of the likelihood and potential impact of a range of different risks that might directly affect the UK.,,
National Security Council,NSC,2.0,CCS,"A coordinating body, chaired by the Prime Minister, to integrate the work of the foreign, defence, home, energy and international development departments, and all other arms of government contributing to national security.",,
"National Security Council, Sub Committee on Threats, Hazards, Resilience and Contingencies ",NSC (THRC),2.1,CCS,"A Ministerial sub committee of the National Security Council, which will come together in both policy and crisis response modes. This may be in some contextst be more colloquially referred to as 'the COBR Committee'.",Note: in crisis response mode the NSC(THRC) now replaces the former Civil Contingencies Committee.,
"National Security Council, Sub Committee on Threats, Hazards, Resilience and Contingencies (Officials)",NSC (THRC)(O),2.0,CCS,"A officials sub committee of the National Security Council, which will come together in both policy and crisis response modes. ",Note: in crisis response mode the NSC(THRC)(O) now replaces the former Civil Contingencies Committee (Official).,
"National Security Secretariat, Cabinet Office",NSS,2.1,CCS,,Note: included for Acronym,
National Steering Committee on Warning and Informing the Public ,NSCWIP,2.0,CCS,UK's primary independent advisory group on warning and informing the public  ,Note: created in 1997 to provide advice and guidance to central and regional government and emergency managers in implementing the Communicating with the Public duty,
National Voluntary aid Society Emergency Committee,NVASEC,1.0,CCS,"UK-wide forum, responsible to the secretary of state, for addressing Voluntary Sector matters in relation to national integrated contingency planning  ",,
NEPLG Consolidated Guidance,,2.0,NEPLG,"Guidance formulated by Nuclear Emergency Planning Liaison Group (NEPLG) on a wide range of emergency planning issues, taking into account national and international best practice. The purpose of the consolidated guidance is to bring together guidance into one document for general reference by planners and practitioners concerned with emergency response at nuclear sites.", ,
New Dimension Programme ,,2.0,CCS,Part of the government’s civil contingencies Capability Programme. Its aim is to enhance preparedness and resilience in England and Wales by improving the capability of the Fire and Rescue Service to respond to Major and Catastrophic incidents   ,,
News Co-ordination Centre ,NCC,1.0,CCS,A Cabinet Office unit working with the Lead Government Department to provide co-ordinating media and public communications support during an emergency,,
New Scotland Yard,NSY,2.1,MPS,,Note: included for Acronym,
Next of Kin,NOK,2.0,CCS,,Note: included for Acronym,
NHS 24,,1.0,DH,Scottish equivalent of NHS direct. ,,Scotland
NHS direct,,1.0,DH,National health service 24-hour helpline providing advice and information relating to health in England and Wales (as NHS Direct Wales),,England and Wales
NHS Strategic Command, ,2.0,DH,"Body directing and commanding the response of all NHS resources, including ambulances, during an incident, to ensure service delivery for both the incident and normal services",,
No Duff Gen,,2.0,NEPLG,Term used to indicate termination of an exercise due to a real incident occuring during the exercise.,,
Non Governmental Organisation,NGO,2.0,,"Private organisation dedicated to pro-social activities such as the relief of suffering and poverty, protection of the environment and community development  ",,
Non-hospitalised injured survivor,,2.0,DH,Person injured as a result of an emergency or disaster whose injuries are not serious enough to require hospitalisation  ,, 
Northern Ireland Central Crisis Management Arrangements,NICCMA,2.0,OFMDFM,"Central facility to support the Secretary of State for Northern Ireland in providing strategic direction following a serious terrorist incident in 
Northern Ireland.  ",,Northern Ireland
Northern Ireland Office Briefing Room,NIOBR,1.0,OFMDFM,Central facility to support the Secretary of State for Northern Ireland in providing strategic direction following a serious terrorist incident in Northern Ireland.   ,,Northern Ireland
Northern Ireland Technical Advisory Group,NITAG,1.0,OFMDFM,Group convened to provide scientific and technical advice in response to emergencies ,,Northern Ireland
Nothing to report,NTR,2.0,CCS,,Note: included for Acronym,
Notice to move,NTM,2.0,CCS,,Note: included for Acronym,
Not yet known,NYK,2.0,CCS,,Note: included for Acronym,
Nuclear Accident Response Organisation,NARO,2.0,NEPLG,"Ministry of Defence (MOD) agency responsible for response to an accident or incident, including one arising through terrorist acts, involving defence nuclear assets",,
Nuclear Emergency Arrangements Forum,NEAF,2.0,NEPLG,"A forum where the Nuclear Installations Inspectorate (NII) and the nuclear site operators meet to discuss planning, operations and regulatory issues on emergency arrangements.",,
Nuclear Emergency Briefing Room,NEBR,2.0,NEPLG,A DECC facility to brief the government following declaration of an Off-site Nuclear Emergency.,,
Nuclear Emergency Planning Liaison Group,NEPLG,2.0,NEPLG,"A Forum which brings together, under Department of Energy and Climate Change (DECC) chairmanship, a wide range of organisation with interest in off-site planning for an emergency at civil and defence nuclear sites.",,
Nuclear Site Licence,,2.0,NEPLG,A license granted to the Nuclear Site Operator by the HSE’s Nuclear Installations Inspectorate (NII) under the Nuclear Installations Act. The Nuclear Site Licences imposes 35 licence conditions and places many responsibilities on the licence holder.,,
Numerical Atmospheric Modelling Environment,NAME,2.0,Met Office,The Met Office’s atmospheric dispersion model used to provide predictions of the spread of airborne radioactivity or other hazardous materials.,,
Office for Civil Nuclear Security,OCNS,2.0,NEPLG,The security regulator for the UK’s Civil Nuclear Industry.  Part of the HSE’s Nuclear Directorate. ,,
Office for Security and Counter Terrorism  ,OSCT,2.0,CCS,"Part of the Home Office with responsibility for counter-terrorism, OSCT provides strategic direction and co-ordination in the UK’s work to counter the threat from international terrorism.",,
Office of Rail Reglation,ORR,2.1,Network Rail,"The regulatory authority for health and safety on the railways. It enforces health and safety at work and on the railways, both the general requirements that apply to all work activities and specific law relating to railway operations.",,
Off-site emergency plan  ,,2.0,NEPLG,Plan for a particular installation held off-site by support or response organisations  ,,
Off-Site Nuclear Emergency,,2.0,NEPLG,"Declaration state definition: A hazardous condition which results, or is likely to result, in the need to consider urgent countermeasures to protect the public outside the site security fence from a radiological hazard.",,
Onset ,,1.0,CCS,Beginning of the impact of an emergency or disaster,,
Operational,,1.0,CCS,General definition - relating to an emergency service’s actions undertaken in response to an incident,1 the terms Bronze and operational are frequently used interchangeably. ,
,,,,"Specific definition - the level (below tactical level) at which the management of ‘hands-on’ work is undertaken at the incident site(s) or associated areas, equating for single agencies to Bronze level. ",2 operational and tactical are inverted in military usage,
,,,,,,
Operational Control ,,2.0,CCS,"(Local authority guidance term for) Responsibility for the co-ordination, direction and tasking of deployed mutual aid assets during a major incident  ",,
Ordnance Survey,OS,2.1,CCS,,Note: included for Acronym,
OSPAR Convention,OSPAR,2.0,NEPLG,"OSPAR is the mechanism by which fifteen Governments of the Western coasts and catchments of Europe, together with the European Community, cooperate to protect the marine environment of the North-East Atlantic.  ",,
Other Government Department,OGD,2.0,CCS,,Note: included for the acronym,
Outcome description,,2.0,CCS,An indication of the scale of a generic type of event (e.g. flooding) in terms of its intrinsic or immediate characteristics (e.g. rainfall or area flooded). ,Note: outcome description is to be distinguished from impact.,
Outer cordon,,2.0,CCS,"Cordon established around the vicinity of an incident, and encompassing the inner cordon, to control access to a wider area around the scene, to allow the emergency services and other agencies to work unhindered and in privacy",,
Outsourcing,,2.0,CCS,"Where a service is contracted to a third party on a commercial basis, either by an individual organisation or collectively.",,
Personal Protective Equipment,PPE,2.1,CCS,,Note: included for Acronym,
Person Borne Improvised Explosive Devices,PBIED,2.1,MOD,,Note: included for Acronym,
Personal Protective Equipment,PPE,2.0,NEPLG,"Protective clothing, helmets, goggles or other garment designed to protect the wearer’s body from injury.",,
Phase, ,1.0,CCS,"In emergency management, one of three distinct processes undertaken by an organisation in relation to a potential or actual emergency",,
Pipeline Safety Regulations ,PSR,1.0,CCS,"Regulations, enforced by the Health and Safety Executive, to ensure that major accident hazard pipelines in Great Britain, territorial waters, and the UK continental shelf are designed, constructed and operated safely.  ",See also Major accident hazard pipelines,
Place of Reasonable Safety,,2.0,CCS,"Place within a building or structure where, for a limited period of time, people have some protection from the effects of fire and smoke ",Note: usually a corridor or stairway; will normally have a minimum of 30 minutes’ fire resistance to allow people to escape to a place of safety ,
Plan maintenance,,2.0,CCS,"Procedures for ensuring that emergency plans are appropriate, up to date and kept in readiness for emergencies. ",,
Plan validation,,2.0,CCS,"Measures to ensure that an emergency plan meets the purpose for which it was designed. Validation may include a range of measures, including various forms of emergency exercises and tests.  ",,
Planned operation,,2.0,CCS,See (pre-) planned operation,,
Planning assumptions ,,2.0,CCS,Descriptions of the types and scales of consequences for which organisations should be prepared to respond. These will be informed by the risk assessment process. ,,
Point of Contact,POC,2.0,CCS,,Note: included for the acronym,
Police and Crime Commissioners,PCCs,2.1,CCS,,Note: included for the acronym,
Police Casualty Bureau,,1.0,CCS,See Casualty Bureau,,
Police National CBRNE Centre,PN-CBRNE-C  ,2.1,DCLG,,Note: included for the acronym,
Police National Information and Co-ordination Centre,PNICC,1.0,CCS,"Police facility for England, Wales and Northern Ireland to co-ordinate the deployment and management of Police resources in response to complex or large scale operations, whether pre-planned or in response to a major incident. PNICC will both co-ordinate the provision of mutual aid between forces and provide a facility to manage the flow of information between forces and with Central Government ",,"England, Wales and Northern Ireland"
Police National Mobilisation Plan,PNMP,2.1,HO,,Note: included for Acronym,
Police Search Advisor,PolSA  ,2.1,DCLG,,Note: included for Acronym,
Police Service for Northern Ireland,PSNI,2.1,CCS,,Note: included for Acronym,
Post-emergency phase,,2.0,CCS,See Recovery phase,,
Post Exercise Review / Report,PXR,2.1,CCS,,Note: included for Acronym,
Post Mortem Data ,,1.0,CCS,Information about a deceased person   ,,
Post(-) traumatic Stress Disorder ,PTSD,2.0,BRC,The most destructive form of stress. Comes about as a direct result of unresolved critical incident stress and typically requires mental health intervention to overcome it. ,Note: six criteria for PTSD diagnosis: exposure to a horrible event; intrusion symptoms (repeatedly feels and has obsessive thoughts of the event); avoids reminders of the event; excessive arousal; symptoms last at least thirty days; considerable disruption in normal life.,
Pre-emergency phase,,2.0,CCS,See preparedness phase,Note: may also be termed pre-incident phase,
Preparedness,,1.0,CCS,Process of preparing to deal with known risks and unforeseen events or situations that have the potential to result in an emergency ,,
Preparedness phase,,1.0,CCS,On-going phase focussed on preparedness for emergencies and disasters,,
(pre-) planned operation ,,2.0,CCS,"Operation for which strategies, tactics and contingency plans have been developed in advance (in contrast to spontaneous incident)",,
Primary and community care services,,1.0,DH,"Medical and other health services, provided by health professions and local authority social services departments, particularly during the response phase of an emergency, but also in the longer term recovery phase if on-going monitoring and treatment are required",,
Primary Care Trust,PCT,2.0.2,DH,Local organisation within the National Health service responsible for the first point of consultation for all patients seeking healthcare,,
Private Mobile Radio,PMR,2.1,CCS,,Note: included for Acronym,
Private sector, ,1.0,CCS,"All non-governmental, for-profit organisations, regarded as a group, involved in any aspects of the response to an emergency",,
Property,,2.0,CCS,Any kind of residential or commercial premises ,,
Property affected,,2.0,CCS,Property suffering loss of supply from utilities owing to flooding  ,,
Property flooded,,2.0,CCS,Property in which flood water has resulted in damage or limitation of use  ,,
Property impacted,,2.0,CCS,Property whose land (but not the property itself) is flooded  ,,
PROTECT,,2.1,CCS,Lowerst classification level on the Government Protective Marking Scheme (GPMS),,
Protective Marking,,2.0,CCS,,,
Protective Security,,2.1,CCS,The protection of critical infrastructure assets,,
Psycho-Pathological Condition ,,2.0,BRC,State requiring specialised medico-psychological care and psycho-social support,,
Psycho-social intervention,,2.0,BRC,Activity aimed at preventing or reducing Post-Traumatic Stress Disorder in individuals involved in or affected by an incident  ,,
Psycho-social needs ,,2.0,BRC,"Practical, emotional, social and psychological needs of individuals affected by an incident",,
Psycho-Social Support ,,2.0,BRC,Activity aimed at strengthening the coping strategies of individuals or communities involved in or affected by an incident  ,,
Public Awareness,,2.0,CCS,"A level of knowledge within the community about risks and preparedness for emergencies, including actions the public authorities will take and actions the public should take. ",,
Public Information Line,,2.0,CCS,Helpline set up during and in the aftermath of an emergency to deal with information requests from the public  ,Note: designed to reduce pressure on the Police Casualty Bureau (which has a separate and distinct purpose).,
Public Information Point,PIP,1.0,CCS,Location providing access to information for members of the public during an emergency ,,
Public Information Protocol,,2.0,CCS,"Protocol to oversee the flow of public information, respond to media queries, handle requests for media interviews, brief the media, and establish a media centre  ",Note: may also be termed Media protocol,
Public Information Zone ,PIZ,2.0,HSE,Area within which a site operator or pipeline owner has a duty to provide safety information to the public  ,,
Public sector,,1.0,CCS,"All governmental organisations, regarded as a group, involved in any aspects of the response to an emergency",,
Public Transport Loading Point ,,2.0,CCS,See Hub,,
Public Transport Unloading Point ,,2.0,CCS,See Head,,
Radiation (Emergency Preparedness and Public Information) Regulations 2001,REPPIR,1.0,CCS,"Framework of emergency preparedness measures to ensure that members of the public are properly prepared for a possible radiation emergency, and properly informed if one occurs",,
Radiation emergency,,2.0,NEPLG,Event likely to result in a member of the public receiving an effective dose of 5 MSv during the year immediately following ,,
Radioactive Incident Monitoring Network,RIMNET,2.0,NEPLG,The national radiation monitoring and nuclear emergency response system.,,
Radio Amateurs’ Emergency Network,Raynet,1.0,CCS,Nationwide voluntary group which can provide radio communications during an emergency,,
Radiological,,2.0,NEPLG,Relating to or caused by radiation,,
RADSAFE,,2.0,NEPLG,A  company limited by guarantee that offers mutual assistance in the event of a transport accident involving radioactive materials belonging to a RADSAFE member. ,,
RAG status,,2.0,CCS,"See Red Amber Green Status 


",,
Rail Accident Investigation Branch,RAIB,2.1,Network Rail,"The independent railway accident investigation organisation for the UK. It investigates railway accidents on the UK's railways to improve safety, not to establish blame.",,
Rail Head,,2.0,CCS,See Head,,
Rail Hub,,2.0,CCS,See Hub,,
Rail Incident Commander ,RIC,2.0,CCS,Strategic level commander appointed by Network Rail for incidents involving infrastructure controlled by Network Rail,,
Railways Incident Officer,RIO,2.0,CCS,Representative of the railways sent to the site of an incident involving or impacting on the railways ,,
Railway Safety Directorate,,2.1,Network Rail,Part of the Office of Rail Regulation (ORR) responsible for generally monitoring the effectiveness of the safety regime on Britain's railways. It also conducts research on rail safety and reports on trends in railway incidents and accidents.,,
Rapid onset emergency,,1.0,CCS,"Emergency which develops quickly, and usually with immediate effects, thereby limiting the time available to consider response options (in contrast to rising tide emergency)",,
Readiness Level,,2.0,CCS,An assessment of the extent to which a capability meets the agreed capability target.,,
Receiver of Wreck,RoW,1.0,MOD,Official of the Maritime and Coastguard Agency responsible for processing wreckage and cargo coming ashore as a result of a maritime emergency,,
Receiving hospital,,1.0,DH,One of the designated receiving hospitals identified by the strategic health authority and selected by the ambulance service to receive casualties during an emergency,Note: may also be termed Designated Receiving hospital,
Receiving Mortuary ,,2.0,CCS,See designated mortuary,,
Reception centre,,2.0,CCS,See Survivor Reception Centre,,
Recipient authority ,,,CCS,(Local authority guidance term for) a local council receiving seconded personnel under mutual aid from a donor authority  ,,
Recovery,,2.0,CCS,"The process of rebuilding, restoring and rehabilitating the community following an emergency","Note: a fuller definition is as follows: Process of rebuilding, restoring and rehabilitating the community following an emergency or disaster, continuing until the disruption has been rectified, demands on services have been returned to normal levels, and the needs of those affected have been met",
Recovery Advisory Group,RAG,2.0,NEPLG,Provides advice on recovery considerations arising from a nuclear emergency to the Strategic Co-ordinating Group during the response/acute phase. ,"Note: in the recovery phase, this group will become the Recovery Coordinating Group. ",
Recovery Co-ordinating Group ,RCG,1.0,CCS,Strategic decision making body for the recovery phase once handover has taken place from the police,,
Recovery phase,,2.0,CCS,"Phase focussed on recovery, commencing at the earliest opportunity following the onset of an emergency, and running in tandem with the response phase",,
Recovery time objectives, ,2.0,CCS,Identifies the time by which critical functions and/or their dependencies must be recovered. ,,
Red Amber Green Status ,RAG Status,2.0,CCS,"A colour coding system to denote the completeness, currency or wider fitness for use of civil protection documents or other arrangements.","Local applications may vary, but the following is likely to apply: RED - missing, out of date or otherwise unfit for use. AMBER- in need of review and/or revision GREEN- complete, current & validated",
,,,,,,
,,,,,,
,,,,,,
RED Team,,2.1,CCS,"See Department for Communities and Local Government, Resilience and Emergencies Division",,
Reference Accident,,2.0,NEPLG,Worst possible accident considered reasonably foreseeable for a nuclear licensed site. The type of accidents considered reasonably foreseeable will depend on the specific hazards to be found on each site which will vary according to the stage in its lifecycle.,,
Regional Co-ordinating Group,RegCG,2.1,CCS,See Response Co-ordinating Group (ResCG),Note: no longer in use.,
Regional Directors of Public Health,RDsPH,2.0,DH,"Oversees Chief Executives of Strategic Health Authorities. 
",,
Regional Media Emergency Forum ,RMEF,1.0,CCS,"Group of representatives from the media, government, emergency services and other organizations involved in dealing with an emergency, to facilitate communication during the response ",,
Regional Nominated Co-ordinator,RNC,1.0,CCS,Central government appointee responsible for facilitating the regional co-ordination of activities under the emergency powers in line with the governmental response strategy and objectives.,"Note: in the devolved administrations, known as emergency co-ordinator. ",
Relative Liaison Officer ,,2.0,CCS,Member of the Ante Mortem Team allocated specific responsibility for one or more families of the deceased  ,,
Remediation,,1.0,CCS,"Restoration of a built or natural environment that has been destroyed, damaged, or rendered hazardous as the result of an emergency or disaster. Linked to recovery.",,
Rendezvous point,RvP,1.0,CCS,"Point to which all resources arriving at the outer cordon are directed for logging, briefing, equipment issue and deployment",,
Rendezvous Point Officer,,2.0,CCS,Police officer responsible for supervision of the rendezvous point  , ,
Rescue,,1.0,CCS,"Removal, from a place of danger to a place of relative safety, of persons threatened or directly affected by an incident, emergency, or disaster ",,
Reserved responsibility,,1.0,CCS,"Responsibility retained by the United Kingdom government, as distinct from those assumed by the devolved administrations  ",,
Resilience ,,1.0,CCS,"Ability of the community, services, area or infrastructure to detect, prevent, and, if necessary to withstand, handle and recover from disruptive challenges  ", ,
Resilience and Emergencies Division,DCLG-RED,2.1,CCS,"See Department for Communities and Local Government, Resilience and Emergencies Division",,
Resilience Mortuary,,2.0,CCS,"Pre-fabricated structure on standby for use as a mortuary if the designated mortuary has potentially insufficient capacity, or is in a less than optimal location, for an incident  ",,
Respiratory Protective Equipment,RPE,2.0,NEPLG,"Designed to protect workers from dusts, fumes, vapours or gases.",,
Responder , ,1.0,CCS,Organisation required to plan and prepare a response to an emergency  ,See Category 1 responder; Category 2 responder,
Responders’ Welfare Centre ,RWC,1.0,CCS,Assistance centre for those responding to a prolonged emergency,,
Response ,,2.0,CCS,"Decisions and actions taken in accordance with the strategic, tactical and operational objectives defined by emergency responders. At a high level these will be to protect life, contain and mitigate the impacts of the emergency and create the conditions for a return to normality.",,
